Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate
29,No,Travel_Rarely,Travel_Rarely,Research & Development,2,3,Life Sciences,1,94,3,Male,76
31,No,Travel_Rarely,Travel_Rarely,Research & Development,1,4,Medical,1,95,3,Male,87
32,No,Travel_Rarely,Travel_Rarely,Research & Development,1,3,Life Sciences,1,96,2,Male,66
36,No,Travel_Rarely,Travel_Rarely,Research & Development,6,3,Life Sciences,1,97,2,Female,55
31,No,Travel_Rarely,Travel_Rarely,Research & Development,8,4,Life Sciences,1,98,3,Female,61
35,No,Travel_Rarely,Travel_Rarely,Sales,1,4,Marketing,1,100,3,Male,32
45,No,Travel_Rarely,Travel_Rarely,Research & Development,6,4,Other,1,101,4,Male,52
37,No,Travel_Rarely,Travel_Rarely,Research & Development,7,4,Medical,1,102,1,Male,30
46,No,Travel_Rarely,Travel_Rarely,Human Resources,5,2,Medical,1,103,2,Male,80
30,No,Travel_Rarely,Travel_Rarely,Research & Development,1,1,Life Sciences,1,104,4,Male,55
35,No,Travel_Rarely,Travel_Rarely,Research & Development,1,3,Medical,1,105,2,Male,30
55,No,Travel_Rarely,Travel_Rarely,Sales,1,2,Life Sciences,1,106,1,Male,70
38,No,Non-Travel,Travel_Rarely,Research & Development,6,3,Medical,1,107,2,Female,79
34,No,Travel_Rarely,Travel_Rarely,Research & Development,1,2,Medical,1,110,1,Male,94
56,No,Travel_Rarely,Travel_Rarely,Research & Development,7,3,Life Sciences,1,112,4,Male,49
23,No,Travel_Rarely,Travel_Rarely,Sales,2,1,Technical Degree,1,113,3,Male,62
51,No,Travel_Rarely,Travel_Rarely,Research & Development,9,4,Life Sciences,1,116,4,Male,96
30,No,Travel_Rarely,Travel_Rarely,Research & Development,2,3,Life Sciences,1,117,3,Male,99
46,Yes,Travel_Rarely,Travel_Rarely,Sales,9,2,Medical,1,118,3,Male,64
40,No,Travel_Frequently,Travel_Rarely,Research & Development,1,4,Life Sciences,1,119,3,Male,78
51,No,Travel_Rarely,Travel_Rarely,Sales,21,4,Marketing,1,120,3,Male,71
30,No,Travel_Rarely,Travel_Rarely,Sales,4,2,Medical,1,121,3,Female,63
46,No,Travel_Frequently,Travel_Rarely,Research & Development,1,3,Medical,1,124,3,Male,40
32,No,Travel_Rarely,Travel_Rarely,Sales,6,4,Medical,1,125,2,Male,87
54,No,Travel_Rarely,Travel_Rarely,Research & Development,2,4,Technical Degree,1,126,1,Female,60
24,No,Travel_Rarely,Travel_Rarely,Sales,3,2,Other,1,128,1,Female,33
28,No,Non-Travel,Travel_Rarely,Sales,4,3,Medical,1,129,2,Male,43
58,No,Travel_Rarely,Travel_Rarely,Sales,10,4,Medical,1,131,4,Male,37
44,No,Non-Travel,Travel_Rarely,Research & Development,23,3,Medical,1,132,2,Male,67
37,Yes,Travel_Rarely,Travel_Rarely,Human Resources,6,4,Human Resources,1,133,3,Male,63
32,No,Travel_Rarely,Travel_Rarely,Research & Development,1,1,Life Sciences,1,134,4,Male,71
20,Yes,Travel_Frequently,Travel_Rarely,Research & Development,6,3,Life Sciences,1,137,4,Female,66
34,No,Travel_Rarely,Travel_Rarely,Research & Development,6,4,Other,1,138,1,Female,41
37,No,Non-Travel,Travel_Rarely,Research & Development,2,2,Life Sciences,1,139,3,Male,100
59,No,Non-Travel,Travel_Rarely,Human Resources,2,4,Human Resources,1,140,3,Female,32
50,No,Travel_Frequently,Travel_Rarely,Research & Development,1,3,Life Sciences,1,141,1,Female,73
25,Yes,Travel_Rarely,Travel_Rarely,Sales,5,3,Marketing,1,142,3,Male,46
25,No,Travel_Rarely,Travel_Rarely,Research & Development,7,1,Medical,1,143,4,Male,64
22,No,Travel_Rarely,Travel_Rarely,Research & Development,15,3,Medical,1,144,2,Female,59
51,No,Travel_Frequently,Travel_Rarely,Research & Development,1,4,Medical,1,145,1,Female,30
34,Yes,Travel_Frequently,Travel_Rarely,Research & Development,7,3,Life Sciences,1,147,1,Male,66
54,No,Non-Travel,Travel_Rarely,Human Resources,26,3,Human Resources,1,148,4,Female,30
24,No,Travel_Rarely,Travel_Rarely,Research & Development,18,1,Life Sciences,1,150,2,Male,52
34,No,Travel_Rarely,Travel_Rarely,Research & Development,6,4,Life Sciences,1,151,3,Female,45
37,No,Travel_Rarely,Travel_Rarely,Sales,3,3,Life Sciences,1,152,3,Male,87
34,No,Travel_Rarely,Travel_Rarely,Research & Development,5,3,Medical,1,153,3,Female,45
36,No,Travel_Frequently,Travel_Rarely,Sales,11,2,Technical Degree,1,154,2,Female,92
36,No,Travel_Rarely,Travel_Rarely,Research & Development,3,2,Life Sciences,1,155,1,Female,39
43,No,Travel_Frequently,Travel_Rarely,Sales,26,2,Life Sciences,1,158,3,Male,92
30,No,Travel_Frequently,Travel_Rarely,Research & Development,23,3,Life Sciences,1,159,1,Male,96
33,No,Non-Travel,Travel_Rarely,Sales,22,2,Marketing,1,160,3,Male,95
56,Yes,Travel_Rarely,Travel_Rarely,Research & Development,14,4,Life Sciences,1,161,2,Female,72
51,No,Travel_Rarely,Travel_Rarely,Research & Development,6,3,Life Sciences,1,162,1,Male,51
31,Yes,Travel_Rarely,Travel_Rarely,Sales,6,4,Life Sciences,1,163,2,Male,76
26,No,Travel_Rarely,Travel_Rarely,Research & Development,6,3,Other,1,164,3,Female,46
58,Yes,Travel_Rarely,Travel_Rarely,Research & Development,23,4,Medical,1,165,4,Female,94
19,Yes,Travel_Rarely,Travel_Rarely,Sales,22,1,Marketing,1,167,4,Male,50
22,No,Travel_Rarely,Travel_Rarely,Research & Development,2,1,Technical Degree,1,169,3,Male,100
49,No,Travel_Rarely,Travel_Rarely,Research & Development,20,4,Medical,1,170,3,Female,96
43,No,Travel_Frequently,Travel_Rarely,Research & Development,28,3,Medical,1,171,2,Female,72
50,No,Travel_Frequently,Travel_Rarely,Sales,12,3,Marketing,1,174,3,Female,77
31,Yes,Travel_Rarely,Travel_Rarely,Sales,20,3,Life Sciences,1,175,2,Female,71
41,No,Travel_Rarely,Travel_Rarely,Sales,9,1,Life Sciences,1,176,3,Male,96
26,No,Travel_Rarely,Travel_Rarely,Human Resources,25,1,Life Sciences,1,177,3,Female,61
36,No,Travel_Rarely,Travel_Rarely,Research & Development,6,2,Medical,1,178,2,Male,84
51,Yes,Travel_Frequently,Travel_Rarely,Research & Development,8,4,Life Sciences,1,179,1,Male,53
39,No,Travel_Rarely,Travel_Rarely,Sales,4,4,Life Sciences,1,182,4,Female,47
25,No,Travel_Rarely,Travel_Rarely,Sales,28,3,Life Sciences,1,183,1,Male,41
30,No,Travel_Rarely,Travel_Rarely,Human Resources,9,3,Human Resources,1,184,3,Male,48
32,Yes,Travel_Rarely,Travel_Rarely,Research & Development,9,3,Medical,1,190,1,Female,41
45,No,Travel_Rarely,Travel_Rarely,Research & Development,29,3,Medical,1,192,3,Male,83
38,No,Travel_Rarely,Travel_Rarely,Research & Development,3,5,Technical Degree,1,193,4,Female,32
30,No,Travel_Rarely,Travel_Rarely,Research & Development,18,3,Life Sciences,1,194,1,Female,75
32,No,Travel_Frequently,Travel_Rarely,Sales,9,2,Medical,1,195,4,Male,35
30,No,Travel_Rarely,Travel_Rarely,Research & Development,5,3,Technical Degree,1,197,4,Female,84
30,No,Travel_Rarely,Travel_Rarely,Research & Development,2,1,Medical,1,198,2,Male,35
41,No,Travel_Frequently,Travel_Rarely,Research & Development,10,3,Life Sciences,1,199,4,Male,91
41,No,Travel_Rarely,Travel_Rarely,Research & Development,9,4,Life Sciences,1,200,3,Male,94
19,No,Travel_Rarely,Travel_Rarely,Research & Development,3,1,Medical,1,201,2,Female,79
40,No,Travel_Frequently,Travel_Rarely,Research & Development,26,3,Medical,1,202,2,Female,54
35,No,Travel_Rarely,Travel_Rarely,Sales,1,5,Marketing,1,204,3,Male,94
53,No,Travel_Rarely,Travel_Rarely,Sales,6,2,Marketing,1,205,2,Male,34
45,No,Travel_Rarely,Travel_Rarely,Research & Development,9,3,Life Sciences,1,206,2,Male,60
32,No,Travel_Frequently,Travel_Rarely,Sales,8,3,Marketing,1,207,2,Female,43
29,No,Non-Travel,Travel_Rarely,Research & Development,1,1,Technical Degree,1,208,4,Male,41
51,No,Travel_Rarely,Travel_Rarely,Research & Development,7,4,Medical,1,211,2,Male,34
58,No,Travel_Rarely,Travel_Rarely,Research & Development,9,3,Medical,1,214,2,Female,75
40,No,Travel_Rarely,Travel_Rarely,Sales,4,4,Marketing,1,215,3,Male,67
34,No,Travel_Frequently,Travel_Rarely,Sales,2,4,Marketing,1,216,3,Female,75
22,No,Travel_Rarely,Travel_Rarely,Research & Development,19,1,Medical,1,217,3,Male,80
27,No,Non-Travel,Travel_Rarely,Research & Development,9,3,Medical,1,218,4,Male,57
28,No,Travel_Rarely,Travel_Rarely,Research & Development,21,3,Medical,1,221,3,Male,42
57,No,Travel_Rarely,Travel_Rarely,Research & Development,24,2,Life Sciences,1,223,3,Male,83
27,No,Non-Travel,Travel_Rarely,Research & Development,3,3,Medical,1,224,3,Male,79
50,No,Travel_Rarely,Travel_Rarely,Research & Development,11,3,Life Sciences,1,226,3,Female,53
41,No,Travel_Rarely,Travel_Rarely,Research & Development,14,3,Life Sciences,1,227,1,Male,56
30,No,Travel_Rarely,Travel_Rarely,Sales,5,3,Life Sciences,1,228,2,Female,41
38,No,Travel_Rarely,Travel_Rarely,Sales,1,4,Life Sciences,1,230,1,Female,59
32,No,Travel_Rarely,Travel_Rarely,Research & Development,6,5,Life Sciences,1,231,3,Male,43
27,No,Travel_Rarely,Travel_Rarely,Research & Development,17,3,Technical Degree,1,233,3,Male,51
19,Yes,Travel_Frequently,Travel_Rarely,Sales,1,1,Technical Degree,1,235,3,Female,100
36,No,Travel_Frequently,Travel_Rarely,Research & Development,3,2,Medical,1,238,4,Male,30
30,No,Non-Travel,Travel_Rarely,Research & Development,9,3,Medical,1,239,3,Male,66
45,No,Travel_Rarely,Travel_Rarely,Sales,4,2,Life Sciences,1,240,3,Female,30
56,No,Travel_Rarely,Travel_Rarely,Research & Development,8,3,Life Sciences,1,241,3,Female,67
33,No,Travel_Rarely,Travel_Rarely,Research & Development,2,3,Life Sciences,1,242,3,Male,90
19,Yes,Travel_Rarely,Travel_Rarely,Research & Development,2,3,Life Sciences,1,243,2,Male,47
46,No,Travel_Rarely,Travel_Rarely,Sales,1,2,Marketing,1,244,2,Female,92
38,No,Travel_Rarely,Travel_Rarely,Research & Development,9,2,Life Sciences,1,245,3,Female,75
31,No,Travel_Rarely,Travel_Rarely,Research & Development,12,1,Medical,1,246,3,Female,95
34,No,Travel_Rarely,Travel_Rarely,Research & Development,27,2,Medical,1,247,4,Female,95
41,Yes,Travel_Rarely,Travel_Rarely,Sales,20,2,Marketing,1,248,2,Female,70
50,No,Travel_Rarely,Travel_Rarely,Research & Development,1,3,Medical,1,249,3,Male,86
53,No,Travel_Rarely,Travel_Rarely,Research & Development,13,2,Medical,1,250,4,Female,57
33,No,Travel_Rarely,Travel_Rarely,Research & Development,14,3,Medical,1,252,4,Female,72
40,No,Travel_Rarely,Travel_Rarely,Research & Development,4,1,Medical,1,253,4,Female,46
55,No,Travel_Rarely,Travel_Rarely,Research & Development,14,4,Medical,1,254,3,Male,61
34,No,Travel_Frequently,Travel_Rarely,Research & Development,2,1,Life Sciences,1,256,4,Male,45
51,No,Travel_Rarely,Travel_Rarely,Research & Development,3,3,Medical,1,258,4,Female,98
52,No,Travel_Rarely,Travel_Rarely,Research & Development,1,4,Life Sciences,1,259,3,Male,65
27,No,Travel_Rarely,Travel_Rarely,Research & Development,9,3,Medical,1,260,4,Female,99
35,Yes,Travel_Rarely,Travel_Rarely,Research & Development,23,2,Life Sciences,1,261,2,Male,50
43,No,Non-Travel,Travel_Rarely,Research & Development,7,3,Medical,1,262,4,Male,37
45,No,Non-Travel,Travel_Rarely,Research & Development,2,2,Medical,1,264,1,Male,65
37,No,Travel_Rarely,Travel_Rarely,Research & Development,21,3,Life Sciences,1,267,2,Male,65
35,No,Travel_Frequently,Travel_Rarely,Research & Development,2,3,Medical,1,269,2,Female,37
42,No,Non-Travel,Travel_Rarely,Research & Development,21,2,Medical,1,270,3,Female,36
38,No,Travel_Rarely,Travel_Rarely,Research & Development,2,4,Life Sciences,1,271,4,Male,88
38,No,Travel_Rarely,Travel_Rarely,Research & Development,29,3,Technical Degree,1,273,4,Male,54
27,No,Travel_Frequently,Travel_Rarely,Research & Development,1,1,Technical Degree,1,274,3,Male,60
49,No,Non-Travel,Travel_Rarely,Research & Development,18,4,Life Sciences,1,275,4,Male,92
34,No,Travel_Frequently,Travel_Rarely,Research & Development,10,4,Medical,1,277,4,Male,43
40,No,Travel_Rarely,Travel_Rarely,Research & Development,19,2,Medical,1,281,3,Male,99
38,Yes,Travel_Rarely,Travel_Rarely,Research & Development,29,1,Medical,1,282,2,Male,70
29,Yes,Travel_Rarely,Travel_Rarely,Sales,27,3,Marketing,1,283,2,Female,35
22,No,Travel_Rarely,Travel_Rarely,Research & Development,5,3,Life Sciences,1,284,4,Male,60
36,No,Travel_Frequently,Travel_Rarely,Research & Development,18,1,Medical,1,286,2,Female,73
40,No,Non-Travel,Travel_Rarely,Research & Development,9,5,Life Sciences,1,287,4,Male,63
46,No,Travel_Rarely,Travel_Rarely,Research & Development,1,4,Medical,1,288,4,Male,97
32,Yes,Travel_Rarely,Travel_Rarely,Sales,4,4,Medical,1,291,4,Male,32
30,No,Non-Travel,Travel_Rarely,Research & Development,1,1,Life Sciences,1,292,3,Male,88
27,No,Travel_Frequently,Travel_Rarely,Sales,20,3,Life Sciences,1,293,4,Female,90
51,No,Travel_Rarely,Travel_Rarely,Research & Development,8,4,Life Sciences,1,296,2,Male,81
30,Yes,Travel_Rarely,Travel_Rarely,Research & Development,3,3,Technical Degree,1,297,4,Female,88
41,No,Travel_Rarely,Travel_Rarely,Sales,6,3,Life Sciences,1,298,4,Female,75
30,Yes,Travel_Frequently,Travel_Rarely,Sales,26,4,Marketing,1,299,3,Female,52
29,Yes,Travel_Rarely,Travel_Rarely,Research & Development,1,3,Technical Degree,1,300,3,Male,85
45,No,Non-Travel,Travel_Rarely,Sales,6,3,Medical,1,302,4,Female,57
54,No,Travel_Rarely,Travel_Rarely,Sales,3,3,Marketing,1,303,4,Female,52
36,No,Travel_Rarely,Travel_Rarely,Research & Development,5,2,Life Sciences,1,304,4,Male,62
33,No,Travel_Rarely,Travel_Rarely,Research & Development,4,4,Medical,1,305,3,Female,47
37,No,Travel_Frequently,Travel_Rarely,Research & Development,11,3,Other,1,306,2,Male,47
38,No,Travel_Rarely,Travel_Rarely,Sales,3,3,Life Sciences,1,307,1,Male,76
31,No,Non-Travel,Travel_Rarely,Research & Development,1,4,Medical,1,308,3,Male,90
59,No,Travel_Rarely,Travel_Rarely,Research & Development,3,3,Life Sciences,1,309,3,Male,70
37,No,Travel_Frequently,Travel_Rarely,Sales,4,4,Marketing,1,311,1,Male,41
29,No,Travel_Frequently,Travel_Rarely,Sales,1,1,Medical,1,312,2,Female,42
35,No,Travel_Frequently,Travel_Rarely,Sales,1,3,Marketing,1,314,3,Female,92
29,Yes,Travel_Rarely,Travel_Rarely,Research & Development,18,1,Medical,1,315,3,Male,86
52,No,Travel_Rarely,Travel_Rarely,Research & Development,2,3,Life Sciences,1,316,3,Female,89
42,No,Travel_Rarely,Travel_Rarely,Research & Development,4,2,Technical Degree,1,319,3,Male,58
59,No,Travel_Rarely,Travel_Rarely,Human Resources,6,2,Medical,1,321,2,Male,52
50,No,Travel_Rarely,Travel_Rarely,Sales,1,4,Medical,1,323,4,Female,68
33,Yes,Travel_Rarely,Travel_Rarely,Research & Development,14,3,Medical,1,325,3,Male,58
43,No,Travel_Rarely,Travel_Rarely,Sales,16,3,Marketing,1,327,4,Female,80
33,Yes,Travel_Rarely,Travel_Rarely,Research & Development,2,2,Life Sciences,1,328,1,Female,39
52,No,Non-Travel,Travel_Rarely,Sales,2,4,Life Sciences,1,329,1,Male,79
32,No,Travel_Rarely,Travel_Rarely,Sales,4,2,Life Sciences,1,330,3,Female,56
32,Yes,Travel_Rarely,Travel_Rarely,Research & Development,1,3,Life Sciences,1,331,4,Male,62
39,No,Travel_Rarely,Travel_Rarely,Research & Development,1,4,Medical,1,332,3,Female,96
32,No,Non-Travel,Travel_Rarely,Sales,26,4,Marketing,1,333,3,Male,100
41,No,Travel_Rarely,Travel_Rarely,Research & Development,19,2,Life Sciences,1,334,3,Male,36
40,No,Travel_Rarely,Travel_Rarely,Research & Development,24,2,Technical Degree,1,335,1,Male,62
45,No,Travel_Rarely,Travel_Rarely,Research & Development,1,3,Other,1,336,3,Male,70
31,No,Travel_Frequently,Travel_Rarely,Research & Development,3,4,Medical,1,337,2,Male,73
33,No,Travel_Rarely,Travel_Rarely,Research & Development,5,4,Life Sciences,1,338,3,Female,63
34,No,Travel_Rarely,Travel_Rarely,Research & Development,2,4,Life Sciences,1,339,4,Male,84
37,No,Travel_Rarely,Travel_Rarely,Research & Development,1,2,Medical,1,340,3,Female,83
45,No,Travel_Frequently,Travel_Rarely,Research & Development,7,4,Life Sciences,1,341,1,Male,77
37,Yes,Travel_Frequently,Travel_Rarely,Research & Development,10,3,Medical,1,342,1,Male,61
39,No,Travel_Frequently,Travel_Rarely,Research & Development,2,4,Technical Degree,1,343,3,Female,64
29,No,Travel_Rarely,Travel_Rarely,Research & Development,15,3,Life Sciences,1,346,3,Male,60
42,No,Travel_Rarely,Travel_Rarely,Research & Development,17,2,Life Sciences,1,347,4,Female,82
29,No,Travel_Rarely,Travel_Rarely,Sales,20,2,Marketing,1,349,4,Male,45
25,No,Travel_Rarely,Travel_Rarely,Research & Development,1,3,Life Sciences,1,350,1,Female,62
42,No,Travel_Rarely,Travel_Rarely,Research & Development,2,3,Medical,1,351,4,Female,56
40,No,Travel_Rarely,Travel_Rarely,Research & Development,2,2,Medical,1,352,1,Male,49
51,No,Travel_Rarely,Travel_Rarely,Research & Development,1,3,Life Sciences,1,353,3,Male,96
31,Yes,Travel_Frequently,Travel_Rarely,Research & Development,29,2,Medical,1,355,3,Male,71
32,No,Travel_Frequently,Travel_Rarely,Research & Development,7,3,Life Sciences,1,359,2,Male,100
38,No,Non-Travel,Travel_Rarely,Sales,2,2,Life Sciences,1,361,4,Male,39
32,No,Travel_Rarely,Travel_Rarely,Research & Development,2,1,Technical Degree,1,362,4,Male,84
46,No,Travel_Rarely,Travel_Rarely,Sales,2,3,Technical Degree,1,363,3,Female,75
28,Yes,Travel_Rarely,Travel_Rarely,Research & Development,2,4,Life Sciences,1,364,1,Male,79
29,No,Travel_Rarely,Travel_Rarely,Sales,2,3,Medical,1,366,1,Male,78
31,No,Travel_Rarely,Travel_Rarely,Research & Development,23,3,Medical,1,367,2,Male,64
25,No,Non-Travel,Travel_Rarely,Research & Development,5,2,Life Sciences,1,369,2,Male,85
45,No,Travel_Rarely,Travel_Rarely,Research & Development,20,2,Medical,1,372,3,Male,79
36,No,Travel_Rarely,Travel_Rarely,Research & Development,6,3,Life Sciences,1,373,4,Male,47
55,No,Travel_Rarely,Travel_Rarely,Research & Development,1,3,Medical,1,374,4,Male,81
47,Yes,Non-Travel,Travel_Rarely,Research & Development,29,4,Life Sciences,1,376,1,Male,88
28,No,Travel_Rarely,Travel_Rarely,Research & Development,9,3,Medical,1,377,4,Male,94
37,No,Travel_Rarely,Travel_Rarely,Sales,6,4,Medical,1,378,3,Male,98
21,No,Travel_Rarely,Travel_Rarely,Research & Development,3,2,Medical,1,379,4,Male,100
37,No,Non-Travel,Travel_Rarely,Research & Development,1,4,Medical,1,380,1,Female,80
35,No,Travel_Rarely,Travel_Rarely,Research & Development,22,3,Life Sciences,1,381,2,Female,71
38,No,Travel_Rarely,Travel_Rarely,Sales,7,2,Medical,1,382,1,Female,44
26,No,Travel_Frequently,Travel_Rarely,Research & Development,1,3,Life Sciences,1,384,3,Female,84
50,No,Travel_Rarely,Travel_Rarely,Research & Development,4,1,Life Sciences,1,385,1,Male,96
53,No,Travel_Rarely,Travel_Rarely,Research & Development,3,4,Medical,1,386,3,Male,45
42,No,Travel_Rarely,Travel_Rarely,Sales,1,1,Life Sciences,1,387,2,Male,99
29,No,Travel_Frequently,Travel_Rarely,Sales,2,2,Life Sciences,1,388,2,Male,44
55,No,Travel_Rarely,Travel_Rarely,Research & Development,20,2,Technical Degree,1,389,2,Male,37
26,No,Travel_Frequently,Travel_Rarely,Research & Development,11,2,Medical,1,390,1,Male,60
37,No,Travel_Rarely,Travel_Rarely,Research & Development,1,3,Life Sciences,1,391,4,Female,42
44,Yes,Travel_Frequently,Travel_Rarely,Research & Development,24,3,Life Sciences,1,392,4,Male,43
