Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,ANOTHER_CATEGORICAL_COLUMN,ANNUAL CTC,ANNUAL SALES 
30,0,Travel_Frequently,721,Research & Development,1,2,Medical,3,Female,58,YES,116000,115934
41,1,Travel_Rarely,1360,Research & Development,12,3,Technical Degree,2,Female,49,NO,98000,97934
34,0,Non-Travel,1065,Sales,23,4,Marketing,2,Male,72,CANTSAY,144000,143934
37,0,Travel_Rarely,408,Research & Development,19,2,Life Sciences,2,Male,73,MAYBE,146000,145934
46,0,Travel_Frequently,1211,Sales,5,4,Marketing,1,Male,98,YES,196000,195934
35,0,Travel_Rarely,1229,Research & Development,8,1,Life Sciences,4,Male,36,NO,72000,71934
48,1,Travel_Rarely,626,Research & Development,1,2,Life Sciences,1,Male,98,CANTSAY,196000,195934
28,1,Travel_Rarely,1434,Research & Development,5,4,Technical Degree,3,Male,50,MAYBE,100000,99934
44,0,Travel_Rarely,1488,Sales,1,5,Marketing,2,Female,75,YES,150000,149934
35,0,Non-Travel,1097,Research & Development,11,2,Medical,3,Male,79,NO,158000,157934
26,0,Travel_Rarely,1443,Sales,23,3,Marketing,3,Female,47,CANTSAY,94000,93934
33,0,Travel_Frequently,515,Research & Development,1,2,Life Sciences,1,Female,98,MAYBE,196000,195934
35,0,Travel_Frequently,853,Sales,18,5,Life Sciences,2,Male,71,YES,142000,141934
35,0,Travel_Rarely,1142,Research & Development,23,4,Medical,3,Female,30,NO,60000,59934
31,0,Travel_Rarely,655,Research & Development,7,4,Life Sciences,4,Male,48,CANTSAY,96000,95934
37,0,Travel_Rarely,1115,Research & Development,1,4,Life Sciences,1,Male,51,MAYBE,102000,101934
32,0,Travel_Rarely,427,Research & Development,1,3,Medical,1,Male,33,YES,66000,65934
38,0,Travel_Frequently,653,Research & Development,29,5,Life Sciences,4,Female,50,NO,100000,99934
50,0,Travel_Rarely,989,Research & Development,7,2,Medical,2,Female,43,CANTSAY,86000,85934
59,0,Travel_Rarely,1435,Sales,25,3,Life Sciences,1,Female,99,MAYBE,198000,197934
36,0,Travel_Rarely,1223,Research & Development,8,3,Technical Degree,3,Female,59,YES,118000,117934
55,0,Travel_Rarely,836,Research & Development,8,3,Medical,4,Female,33,NO,66000,65934
36,0,Travel_Frequently,1195,Research & Development,11,3,Life Sciences,2,Male,95,CANTSAY,190000,189934
45,0,Travel_Rarely,1339,Research & Development,7,3,Life Sciences,2,Male,59,MAYBE,118000,117934
35,0,Travel_Frequently,664,Research & Development,1,3,Medical,2,Male,79,YES,158000,157934
36,1,Travel_Rarely,318,Research & Development,9,3,Medical,4,Male,79,NO,158000,157934
59,0,Travel_Frequently,1225,Sales,1,1,Life Sciences,1,Female,57,CANTSAY,114000,113934
29,0,Travel_Rarely,1328,Research & Development,2,3,Life Sciences,3,Male,76,MAYBE,152000,151934
31,0,Travel_Rarely,1082,Research & Development,1,4,Medical,3,Male,87,YES,174000,173934
32,0,Travel_Rarely,548,Research & Development,1,3,Life Sciences,2,Male,66,NO,132000,131934
36,0,Travel_Rarely,132,Research & Development,6,3,Life Sciences,2,Female,55,CANTSAY,110000,109934
31,0,Travel_Rarely,746,Research & Development,8,4,Life Sciences,3,Female,61,MAYBE,122000,121934
35,0,Travel_Rarely,776,Sales,1,4,Marketing,3,Male,32,YES,64000,63934
45,0,Travel_Rarely,193,Research & Development,6,4,Other,4,Male,52,NO,104000,103934
37,0,Travel_Rarely,397,Research & Development,7,4,Medical,1,Male,30,CANTSAY,60000,59934
46,0,Travel_Rarely,945,Human Resources,5,2,Medical,2,Male,80,MAYBE,160000,159934
30,0,Travel_Rarely,852,Research & Development,1,1,Life Sciences,4,Male,55,YES,110000,109934
35,0,Travel_Rarely,1214,Research & Development,1,3,Medical,2,Male,30,NO,60000,59934
55,0,Travel_Rarely,111,Sales,1,2,Life Sciences,1,Male,70,CANTSAY,140000,139934
38,0,Non-Travel,573,Research & Development,6,3,Medical,2,Female,79,MAYBE,158000,157934
34,0,Travel_Rarely,1153,Research & Development,1,2,Medical,1,Male,94,YES,188000,187934
56,0,Travel_Rarely,1400,Research & Development,7,3,Life Sciences,4,Male,49,NO,98000,97934
23,0,Travel_Rarely,541,Sales,2,1,Technical Degree,3,Male,62,CANTSAY,124000,123934
51,0,Travel_Rarely,432,Research & Development,9,4,Life Sciences,4,Male,96,MAYBE,192000,191934
30,0,Travel_Rarely,288,Research & Development,2,3,Life Sciences,3,Male,99,YES,198000,197934
46,1,Travel_Rarely,669,Sales,9,2,Medical,3,Male,64,NO,128000,127934
40,0,Travel_Frequently,530,Research & Development,1,4,Life Sciences,3,Male,78,CANTSAY,156000,155934
51,0,Travel_Rarely,632,Sales,21,4,Marketing,3,Male,71,MAYBE,142000,141934
30,0,Travel_Rarely,1334,Sales,4,2,Medical,3,Female,63,YES,126000,125934
46,0,Travel_Frequently,638,Research & Development,1,3,Medical,3,Male,40,NO,80000,79934
32,0,Travel_Rarely,1093,Sales,6,4,Medical,2,Male,87,CANTSAY,174000,173934
54,0,Travel_Rarely,1217,Research & Development,2,4,Technical Degree,1,Female,60,MAYBE,120000,119934
24,0,Travel_Rarely,1353,Sales,3,2,Other,1,Female,33,YES,66000,65934
28,0,Non-Travel,120,Sales,4,3,Medical,2,Male,43,NO,86000,85934
58,0,Travel_Rarely,682,Sales,10,4,Medical,4,Male,37,CANTSAY,74000,73934
44,0,Non-Travel,489,Research & Development,23,3,Medical,2,Male,67,MAYBE,134000,133934
37,1,Travel_Rarely,807,Human Resources,6,4,Human Resources,3,Male,63,YES,126000,125934
32,0,Travel_Rarely,827,Research & Development,1,1,Life Sciences,4,Male,71,NO,142000,141934
20,1,Travel_Frequently,871,Research & Development,6,3,Life Sciences,4,Female,66,CANTSAY,132000,131934
34,0,Travel_Rarely,665,Research & Development,6,4,Other,1,Female,41,MAYBE,82000,81934
37,0,Non-Travel,1040,Research & Development,2,2,Life Sciences,3,Male,100,YES,200000,199934
59,0,Non-Travel,1420,Human Resources,2,4,Human Resources,3,Female,32,NO,64000,63934
50,0,Travel_Frequently,1115,Research & Development,1,3,Life Sciences,1,Female,73,CANTSAY,146000,145934
25,1,Travel_Rarely,240,Sales,5,3,Marketing,3,Male,46,MAYBE,92000,91934
25,0,Travel_Rarely,1280,Research & Development,7,1,Medical,4,Male,64,YES,128000,127934
22,0,Travel_Rarely,534,Research & Development,15,3,Medical,2,Female,59,NO,118000,117934
51,0,Travel_Frequently,1456,Research & Development,1,4,Medical,1,Female,30,CANTSAY,60000,59934
34,1,Travel_Frequently,658,Research & Development,7,3,Life Sciences,1,Male,66,MAYBE,132000,131934
54,0,Non-Travel,142,Human Resources,26,3,Human Resources,4,Female,30,YES,60000,59934
24,0,Travel_Rarely,1127,Research & Development,18,1,Life Sciences,2,Male,52,NO,104000,103934
34,0,Travel_Rarely,1031,Research & Development,6,4,Life Sciences,3,Female,45,CANTSAY,90000,89934
37,0,Travel_Rarely,1189,Sales,3,3,Life Sciences,3,Male,87,MAYBE,174000,173934
34,0,Travel_Rarely,1354,Research & Development,5,3,Medical,3,Female,45,YES,90000,89934
36,0,Travel_Frequently,1467,Sales,11,2,Technical Degree,2,Female,92,NO,184000,183934
36,0,Travel_Rarely,922,Research & Development,3,2,Life Sciences,1,Female,39,CANTSAY,78000,77934
43,0,Travel_Frequently,394,Sales,26,2,Life Sciences,3,Male,92,MAYBE,184000,183934
30,0,Travel_Frequently,1312,Research & Development,23,3,Life Sciences,1,Male,96,YES,192000,191934
33,0,Non-Travel,750,Sales,22,2,Marketing,3,Male,95,NO,190000,189934
56,1,Travel_Rarely,441,Research & Development,14,4,Life Sciences,2,Female,72,CANTSAY,144000,143934
51,0,Travel_Rarely,684,Research & Development,6,3,Life Sciences,1,Male,51,MAYBE,102000,101934
31,1,Travel_Rarely,249,Sales,6,4,Life Sciences,2,Male,76,YES,152000,151934
26,0,Travel_Rarely,841,Research & Development,6,3,Other,3,Female,46,NO,92000,91934
58,1,Travel_Rarely,147,Research & Development,23,4,Medical,4,Female,94,CANTSAY,188000,187934
19,1,Travel_Rarely,528,Sales,22,1,Marketing,4,Male,50,MAYBE,100000,99934
22,0,Travel_Rarely,594,Research & Development,2,1,Technical Degree,3,Male,100,YES,200000,199934
49,0,Travel_Rarely,470,Research & Development,20,4,Medical,3,Female,96,NO,192000,191934
43,0,Travel_Frequently,957,Research & Development,28,3,Medical,2,Female,72,CANTSAY,144000,143934
50,0,Travel_Frequently,809,Sales,12,3,Marketing,3,Female,77,MAYBE,154000,153934
31,1,Travel_Rarely,542,Sales,20,3,Life Sciences,2,Female,71,YES,142000,141934
41,0,Travel_Rarely,802,Sales,9,1,Life Sciences,3,Male,96,NO,192000,191934
26,0,Travel_Rarely,1355,Human Resources,25,1,Life Sciences,3,Female,61,CANTSAY,122000,121934
36,0,Travel_Rarely,216,Research & Development,6,2,Medical,2,Male,84,MAYBE,168000,167934
51,1,Travel_Frequently,1150,Research & Development,8,4,Life Sciences,1,Male,53,YES,106000,105934
39,0,Travel_Rarely,1329,Sales,4,4,Life Sciences,4,Female,47,NO,94000,93934
25,0,Travel_Rarely,959,Sales,28,3,Life Sciences,1,Male,41,CANTSAY,82000,81934
30,0,Travel_Rarely,1240,Human Resources,9,3,Human Resources,3,Male,48,MAYBE,96000,95934
32,1,Travel_Rarely,1033,Research & Development,9,3,Medical,1,Female,41,YES,82000,81934
45,0,Travel_Rarely,1316,Research & Development,29,3,Medical,3,Male,83,NO,166000,165934
38,0,Travel_Rarely,364,Research & Development,3,5,Technical Degree,4,Female,32,CANTSAY,64000,63934
30,0,Travel_Rarely,438,Research & Development,18,3,Life Sciences,1,Female,75,MAYBE,150000,149934
32,0,Travel_Frequently,689,Sales,9,2,Medical,4,Male,35,YES,70000,69934
30,0,Travel_Rarely,201,Research & Development,5,3,Technical Degree,4,Female,84,NO,168000,167934
30,0,Travel_Rarely,1427,Research & Development,2,1,Medical,2,Male,35,CANTSAY,70000,69934
41,0,Travel_Frequently,857,Research & Development,10,3,Life Sciences,4,Male,91,MAYBE,182000,181934
41,0,Travel_Rarely,933,Research & Development,9,4,Life Sciences,3,Male,94,YES,188000,187934
19,0,Travel_Rarely,1181,Research & Development,3,1,Medical,2,Female,79,NO,158000,157934
40,0,Travel_Frequently,1395,Research & Development,26,3,Medical,2,Female,54,CANTSAY,108000,107934
35,0,Travel_Rarely,662,Sales,1,5,Marketing,3,Male,94,MAYBE,188000,187934
53,0,Travel_Rarely,1436,Sales,6,2,Marketing,2,Male,34,YES,68000,67934
45,0,Travel_Rarely,194,Research & Development,9,3,Life Sciences,2,Male,60,NO,120000,119934
32,0,Travel_Frequently,967,Sales,8,3,Marketing,2,Female,43,CANTSAY,86000,85934
29,0,Non-Travel,1496,Research & Development,1,1,Technical Degree,4,Male,41,MAYBE,82000,81934
51,0,Travel_Rarely,1169,Research & Development,7,4,Medical,2,Male,34,YES,68000,67934
58,0,Travel_Rarely,1145,Research & Development,9,3,Medical,2,Female,75,NO,150000,149934
40,0,Travel_Rarely,630,Sales,4,4,Marketing,3,Male,67,CANTSAY,134000,133934
34,0,Travel_Frequently,303,Sales,2,4,Marketing,3,Female,75,MAYBE,150000,149934
22,0,Travel_Rarely,1256,Research & Development,19,1,Medical,3,Male,80,YES,160000,159934
27,0,Non-Travel,691,Research & Development,9,3,Medical,4,Male,57,NO,114000,113934
28,0,Travel_Rarely,440,Research & Development,21,3,Medical,3,Male,42,CANTSAY,84000,83934
57,0,Travel_Rarely,334,Research & Development,24,2,Life Sciences,3,Male,83,MAYBE,166000,165934
27,0,Non-Travel,1450,Research & Development,3,3,Medical,3,Male,79,YES,158000,157934
50,0,Travel_Rarely,1452,Research & Development,11,3,Life Sciences,3,Female,53,NO,106000,105934
41,0,Travel_Rarely,465,Research & Development,14,3,Life Sciences,1,Male,56,CANTSAY,112000,111934
30,0,Travel_Rarely,1339,Sales,5,3,Life Sciences,2,Female,41,MAYBE,82000,81934
38,0,Travel_Rarely,702,Sales,1,4,Life Sciences,1,Female,59,YES,118000,117934
32,0,Travel_Rarely,120,Research & Development,6,5,Life Sciences,3,Male,43,NO,86000,85934
27,0,Travel_Rarely,1157,Research & Development,17,3,Technical Degree,3,Male,51,CANTSAY,102000,101934
19,1,Travel_Frequently,602,Sales,1,1,Technical Degree,3,Female,100,MAYBE,200000,199934
36,0,Travel_Frequently,1480,Research & Development,3,2,Medical,4,Male,30,YES,60000,59934
30,0,Non-Travel,111,Research & Development,9,3,Medical,3,Male,66,NO,132000,131934
45,0,Travel_Rarely,1268,Sales,4,2,Life Sciences,3,Female,30,CANTSAY,60000,59934
56,0,Travel_Rarely,713,Research & Development,8,3,Life Sciences,3,Female,67,MAYBE,134000,133934
33,0,Travel_Rarely,134,Research & Development,2,3,Life Sciences,3,Male,90,YES,180000,179934
19,1,Travel_Rarely,303,Research & Development,2,3,Life Sciences,2,Male,47,NO,94000,93934
46,0,Travel_Rarely,526,Sales,1,2,Marketing,2,Female,92,CANTSAY,184000,183934
38,0,Travel_Rarely,1380,Research & Development,9,2,Life Sciences,3,Female,75,MAYBE,150000,149934
31,0,Travel_Rarely,140,Research & Development,12,1,Medical,3,Female,95,YES,190000,189934
34,0,Travel_Rarely,629,Research & Development,27,2,Medical,4,Female,95,NO,190000,189934
41,1,Travel_Rarely,1356,Sales,20,2,Marketing,2,Female,70,CANTSAY,140000,139934
50,0,Travel_Rarely,328,Research & Development,1,3,Medical,3,Male,86,MAYBE,172000,171934
53,0,Travel_Rarely,1084,Research & Development,13,2,Medical,4,Female,57,YES,114000,113934
33,0,Travel_Rarely,931,Research & Development,14,3,Medical,4,Female,72,NO,144000,143934
40,0,Travel_Rarely,989,Research & Development,4,1,Medical,4,Female,46,CANTSAY,92000,91934
55,0,Travel_Rarely,692,Research & Development,14,4,Medical,3,Male,61,MAYBE,122000,121934
34,0,Travel_Frequently,1069,Research & Development,2,1,Life Sciences,4,Male,45,YES,90000,89934
51,0,Travel_Rarely,313,Research & Development,3,3,Medical,4,Female,98,NO,196000,195934
52,0,Travel_Rarely,699,Research & Development,1,4,Life Sciences,3,Male,65,CANTSAY,130000,129934
27,0,Travel_Rarely,894,Research & Development,9,3,Medical,4,Female,99,MAYBE,198000,197934
35,1,Travel_Rarely,556,Research & Development,23,2,Life Sciences,2,Male,50,YES,100000,99934
43,0,Non-Travel,1344,Research & Development,7,3,Medical,4,Male,37,NO,74000,73934
45,0,Non-Travel,1195,Research & Development,2,2,Medical,1,Male,65,CANTSAY,130000,129934
37,0,Travel_Rarely,290,Research & Development,21,3,Life Sciences,2,Male,65,MAYBE,130000,129934
35,0,Travel_Frequently,138,Research & Development,2,3,Medical,2,Female,37,YES,74000,73934
42,0,Non-Travel,926,Research & Development,21,2,Medical,3,Female,36,NO,72000,71934
38,0,Travel_Rarely,1261,Research & Development,2,4,Life Sciences,4,Male,88,CANTSAY,176000,175934
38,0,Travel_Rarely,1084,Research & Development,29,3,Technical Degree,4,Male,54,MAYBE,108000,107934
27,0,Travel_Frequently,472,Research & Development,1,1,Technical Degree,3,Male,60,YES,120000,119934
49,0,Non-Travel,1002,Research & Development,18,4,Life Sciences,4,Male,92,NO,184000,183934
34,0,Travel_Frequently,878,Research & Development,10,4,Medical,4,Male,43,CANTSAY,86000,85934
40,0,Travel_Rarely,905,Research & Development,19,2,Medical,3,Male,99,MAYBE,198000,197934
38,1,Travel_Rarely,1180,Research & Development,29,1,Medical,2,Male,70,YES,140000,139934
29,1,Travel_Rarely,121,Sales,27,3,Marketing,2,Female,35,NO,70000,69934
22,0,Travel_Rarely,1136,Research & Development,5,3,Life Sciences,4,Male,60,CANTSAY,120000,119934
36,0,Travel_Frequently,635,Research & Development,18,1,Medical,2,Female,73,MAYBE,146000,145934
40,0,Non-Travel,1151,Research & Development,9,5,Life Sciences,4,Male,63,YES,126000,125934
46,0,Travel_Rarely,644,Research & Development,1,4,Medical,4,Male,97,NO,194000,193934
32,1,Travel_Rarely,1045,Sales,4,4,Medical,4,Male,32,CANTSAY,64000,63934
30,0,Non-Travel,829,Research & Development,1,1,Life Sciences,3,Male,88,MAYBE,176000,175934
27,0,Travel_Frequently,1242,Sales,20,3,Life Sciences,4,Female,90,YES,180000,179934
51,0,Travel_Rarely,1469,Research & Development,8,4,Life Sciences,2,Male,81,NO,162000,161934
30,1,Travel_Rarely,1005,Research & Development,3,3,Technical Degree,4,Female,88,CANTSAY,176000,175934
41,0,Travel_Rarely,896,Sales,6,3,Life Sciences,4,Female,75,MAYBE,150000,149934
30,1,Travel_Frequently,334,Sales,26,4,Marketing,3,Female,52,YES,104000,103934
29,1,Travel_Rarely,992,Research & Development,1,3,Technical Degree,3,Male,85,NO,170000,169934
45,0,Non-Travel,1052,Sales,6,3,Medical,4,Female,57,CANTSAY,114000,113934
54,0,Travel_Rarely,1147,Sales,3,3,Marketing,4,Female,52,MAYBE,104000,103934
36,0,Travel_Rarely,1396,Research & Development,5,2,Life Sciences,4,Male,62,YES,124000,123934
33,0,Travel_Rarely,147,Research & Development,4,4,Medical,3,Female,47,NO,94000,93934
37,0,Travel_Frequently,663,Research & Development,11,3,Other,2,Male,47,CANTSAY,94000,93934
38,0,Travel_Rarely,119,Sales,3,3,Life Sciences,1,Male,76,MAYBE,152000,151934
31,0,Non-Travel,979,Research & Development,1,4,Medical,3,Male,90,YES,180000,179934
59,0,Travel_Rarely,142,Research & Development,3,3,Life Sciences,3,Male,70,NO,140000,139934
37,0,Travel_Frequently,319,Sales,4,4,Marketing,1,Male,41,CANTSAY,82000,81934
29,0,Travel_Frequently,1413,Sales,1,1,Medical,2,Female,42,MAYBE,84000,83934
35,0,Travel_Frequently,944,Sales,1,3,Marketing,3,Female,92,YES,184000,183934
29,1,Travel_Rarely,896,Research & Development,18,1,Medical,3,Male,86,NO,172000,171934
52,0,Travel_Rarely,1323,Research & Development,2,3,Life Sciences,3,Female,89,CANTSAY,178000,177934
42,0,Travel_Rarely,532,Research & Development,4,2,Technical Degree,3,Male,58,MAYBE,116000,115934
59,0,Travel_Rarely,818,Human Resources,6,2,Medical,2,Male,52,YES,104000,103934
50,0,Travel_Rarely,854,Sales,1,4,Medical,4,Female,68,NO,136000,135934
33,1,Travel_Rarely,813,Research & Development,14,3,Medical,3,Male,58,CANTSAY,116000,115934
43,0,Travel_Rarely,1034,Sales,16,3,Marketing,4,Female,80,MAYBE,160000,159934
33,1,Travel_Rarely,465,Research & Development,2,2,Life Sciences,1,Female,39,YES,78000,77934
52,0,Non-Travel,771,Sales,2,4,Life Sciences,1,Male,79,NO,158000,157934
32,0,Travel_Rarely,1401,Sales,4,2,Life Sciences,3,Female,56,CANTSAY,112000,111934
32,1,Travel_Rarely,515,Research & Development,1,3,Life Sciences,4,Male,62,MAYBE,124000,123934
39,0,Travel_Rarely,1431,Research & Development,1,4,Medical,3,Female,96,YES,192000,191934
32,0,Non-Travel,976,Sales,26,4,Marketing,3,Male,100,NO,200000,199934
41,0,Travel_Rarely,1411,Research & Development,19,2,Life Sciences,3,Male,36,CANTSAY,72000,71934
40,0,Travel_Rarely,1300,Research & Development,24,2,Technical Degree,1,Male,62,MAYBE,124000,123934
45,0,Travel_Rarely,252,Research & Development,1,3,Other,3,Male,70,YES,140000,139934
31,0,Travel_Frequently,1327,Research & Development,3,4,Medical,2,Male,73,NO,146000,145934
33,0,Travel_Rarely,832,Research & Development,5,4,Life Sciences,3,Female,63,CANTSAY,126000,125934
34,0,Travel_Rarely,470,Research & Development,2,4,Life Sciences,4,Male,84,MAYBE,168000,167934
37,0,Travel_Rarely,1017,Research & Development,1,2,Medical,3,Female,83,YES,166000,165934
45,0,Travel_Frequently,1199,Research & Development,7,4,Life Sciences,1,Male,77,NO,154000,153934
37,1,Travel_Frequently,504,Research & Development,10,3,Medical,1,Male,61,CANTSAY,122000,121934
39,0,Travel_Frequently,505,Research & Development,2,4,Technical Degree,3,Female,64,MAYBE,128000,127934
29,0,Travel_Rarely,665,Research & Development,15,3,Life Sciences,3,Male,60,YES,120000,119934
42,0,Travel_Rarely,916,Research & Development,17,2,Life Sciences,4,Female,82,NO,164000,163934
29,0,Travel_Rarely,1247,Sales,20,2,Marketing,4,Male,45,CANTSAY,90000,89934
25,0,Travel_Rarely,685,Research & Development,1,3,Life Sciences,1,Female,62,MAYBE,124000,123934
42,0,Travel_Rarely,269,Research & Development,2,3,Medical,4,Female,56,YES,112000,111934
40,0,Travel_Rarely,1416,Research & Development,2,2,Medical,1,Male,49,NO,98000,97934
51,0,Travel_Rarely,833,Research & Development,1,3,Life Sciences,3,Male,96,CANTSAY,192000,191934
31,1,Travel_Frequently,307,Research & Development,29,2,Medical,3,Male,71,MAYBE,142000,141934
32,0,Travel_Frequently,1311,Research & Development,7,3,Life Sciences,2,Male,100,YES,200000,199934
38,0,Non-Travel,1327,Sales,2,2,Life Sciences,4,Male,39,NO,78000,77934
32,0,Travel_Rarely,128,Research & Development,2,1,Technical Degree,4,Male,84,CANTSAY,168000,167934
46,0,Travel_Rarely,488,Sales,2,3,Technical Degree,3,Female,75,MAYBE,150000,149934
28,1,Travel_Rarely,529,Research & Development,2,4,Life Sciences,1,Male,79,YES,158000,157934
29,0,Travel_Rarely,1210,Sales,2,3,Medical,1,Male,78,NO,156000,155934
31,0,Travel_Rarely,1463,Research & Development,23,3,Medical,2,Male,64,CANTSAY,128000,127934
25,0,Non-Travel,675,Research & Development,5,2,Life Sciences,2,Male,85,MAYBE,170000,169934
45,0,Travel_Rarely,1385,Research & Development,20,2,Medical,3,Male,79,YES,158000,157934
36,0,Travel_Rarely,1403,Research & Development,6,3,Life Sciences,4,Male,47,NO,94000,93934
55,0,Travel_Rarely,452,Research & Development,1,3,Medical,4,Male,81,CANTSAY,162000,161934
47,1,Non-Travel,666,Research & Development,29,4,Life Sciences,1,Male,88,MAYBE,176000,175934
28,0,Travel_Rarely,1158,Research & Development,9,3,Medical,4,Male,94,YES,188000,187934
37,0,Travel_Rarely,228,Sales,6,4,Medical,3,Male,98,NO,196000,195934
21,0,Travel_Rarely,996,Research & Development,3,2,Medical,4,Male,100,CANTSAY,200000,199934
37,0,Non-Travel,728,Research & Development,1,4,Medical,1,Female,80,MAYBE,160000,159934
35,0,Travel_Rarely,1315,Research & Development,22,3,Life Sciences,2,Female,71,YES,142000,141934
38,0,Travel_Rarely,322,Sales,7,2,Medical,1,Female,44,NO,88000,87934
26,0,Travel_Frequently,1479,Research & Development,1,3,Life Sciences,3,Female,84,CANTSAY,168000,167934
50,0,Travel_Rarely,797,Research & Development,4,1,Life Sciences,1,Male,96,MAYBE,192000,191934
53,0,Travel_Rarely,1070,Research & Development,3,4,Medical,3,Male,45,YES,90000,89934
42,0,Travel_Rarely,635,Sales,1,1,Life Sciences,2,Male,99,NO,198000,197934
29,0,Travel_Frequently,442,Sales,2,2,Life Sciences,2,Male,44,CANTSAY,88000,87934
55,0,Travel_Rarely,147,Research & Development,20,2,Technical Degree,2,Male,37,MAYBE,74000,73934
26,0,Travel_Frequently,496,Research & Development,11,2,Medical,1,Male,60,YES,120000,119934
37,0,Travel_Rarely,1372,Research & Development,1,3,Life Sciences,4,Female,42,NO,84000,83934
44,1,Travel_Frequently,920,Research & Development,24,3,Life Sciences,4,Male,43,CANTSAY,86000,85934
